('1', 'IntoleranceLovesStruggleThroughouttheAges', '1916', 'USA', '123', '', 'NotRated', '', '385907'),
('2', 'OvertheHilltothePoorhouse', '1920', 'USA', '110', '', '', '3000000', '100000'),
('3', 'TheBigParade', '1925', 'USA', '151', '', 'NotRated', '', '245000'),
('4', 'Metropolis', '1927', 'Germany', '145', 'German', 'NotRated', '26435', '6000000'),
('5', 'PandorasBox', '1929', 'Germany', '110', 'German', 'NotRated', '9950', ''),
('6', 'TheBroadwayMelody', '1929', 'USA', '100', 'English', 'Passed', '2808000', '379000'),
('7', 'HellsAngels', '1930', 'USA', '96', 'English', 'Passed', '', '3950000'),
('8', 'AFarewelltoArms', '1932', 'USA', '79', 'English', 'Unrated', '', '800000'),
('9', '42ndStreet', '1933', 'USA', '89', 'English', 'Unrated', '2300000', '439000'),
('10', 'SheDoneHimWrong', '1933', 'USA', '66', 'English', 'Approved', '', '200000'),
('11', 'ItHappenedOneNight', '1934', 'USA', '65', 'English', 'Unrated', '', '325000'),
('12', 'TopHat', '1935', 'USA', '81', 'English', 'Approved', '3000000', '609000'),
('13', 'ModernTimes', '1936', 'USA', '87', 'English', 'G', '163245', '1500000'),
('14', 'TheChargeoftheLightBrigade', '1936', 'USA', '100', 'English', 'Approved', '', '1200000'),
('15', 'SnowWhiteandtheSevenDwarfs', '1937', 'USA', '83', 'English', 'Approved', '184925485', '2000000'),
('16', 'ThePrisonerofZenda', '1937', 'USA', '101', 'English', 'Approved', '', ''),
('17', 'AlexandersRagtimeBand', '1938', 'USA', '106', 'English', 'Approved', '', '2000000'),
('18', 'YouCantTakeItwithYou', '1938', 'USA', '126', 'English', 'Approved', '', '1644736'),
('19', 'GonewiththeWind', '1939', 'USA', '226', 'English', 'G', '198655278', '3977000'),
('20', 'MrSmithGoestoWashington', '1939', 'USA', '120', 'English', 'NotRated', '', '1500000'),
('21', 'TheWizardofOz', '1939', 'USA', '102', 'English', 'Passed', '22202612', '2800000'),
('22', 'BoomTown', '1940', 'USA', '119', 'English', 'Passed', '', '1614000'),
('23', 'Fantasia', '1940', 'USA', '120', 'English', 'G', '76400000', '2280000'),
('24', 'Pinocchio', '1940', 'USA', '88', 'English', 'Approved', '84300000', '2600000'),
('25', 'Rebecca', '1940', 'USA', '130', 'English', 'NotRated', '', '1288000'),
('26', 'TheBlueBird', '1940', 'USA', '83', 'English', 'Approved', '', ''),
