('3934', '588', '432', '70999999', '203461', '46000'),
('3405', '285', '267', '64000001', '149998', '0'),
('478', '65', '29', '320000005', '8465', '491'),
('74', '83', '25', '75999999', '7071', '930'),
('1254', '1437', '224', '80', '241030', '13000'),
('740', '111', '64', '64000001', '64742', '0'),
('4841', '1058', '579', '810000038', '479047', '117000'),
('2869', '59', '104', '680000019', '18442', '689'),
('3252', '117', '160', '719999981', '49855', '10000'),
('1181', '163', '99', '730000019', '16995', '0'),
('2020', '402', '145', '669999981', '91092', '0'),
('4152', '371', '359', '59000001', '108242', '39000'),
('3220', '62', '64', '619999981', '15780', '2000'),
('2312', '251', '161', '580000019', '63912', '912'),
('1820', '113', '41', '70', '8535', '872'),
('718', '85', '43', '64000001', '76850', '1000'),
('831', '107', '65', '65999999', '40126', '975'),
('1231', '226', '113', '65', '26034', '0'),
('1746', '125', '71', '65999999', '17261', '455'),
('3508', '43', '10', '530000019', '8598', '250'),
('1621', '181', '93', '60', '44913', '3000'),
('3197', '143', '128', '480000019', '33088', '0'),
('4464', '5', '10', '480000019', '241', '261'),
('3929', '7', '39', '70999999', '774', '590'),
('2183', '18', '33', '45', '3119', '151'),
('3298', '53', '83', '74000001', '6091', '0'),
('2392', '156', '111', '50', '51252', '621'),
('978', '41', '29', '60999999', '22748', '666'),
('3176', '148', '222', '65999999', '55597', '4000'),
('272', '60', '25', '60999999', '18140', '855'),
('2414', '69', '87', '630000019', '10052', '0'),
('2873', '65', '121', '59000001', '8867', '0'),
('2744', '88', '117', '74000001', '46076', '11000'),
('4013', '8', '13', '54000001', '133', '424'),
('4707', '440', '465', '74000001', '232187', '47000'),
('4592', '34', '59', '530000019', '5693', '0'),
('2379', '90', '34', '65999999', '19336', '0'),
('848', '57', '31', '669999981', '8531', '591'),
('308', '134', '52', '69000001', '48629', '0'),
('4210', '111', '217', '69000001', '31898', '0'),
('1492', '377', '131', '65999999', '52244', '0'),
('3879', '55', '162', '730000019', '15600', '0'),
('4094', '150', '239', '680000019', '47954', '11000'),
('3319', '120', '124', '54000001', '31191', '0'),
('302', '152', '75', '619999981', '31260', '0'),
('3854', '316', '481', '75999999', '148221', '51000'),
('1522', '431', '142', '64000001', '200260', '0'),
('1491', '119', '47', '35999999', '2855', '663'),
('1526', '12', '15', '75999999', '341', '379'),
('4501', '37', '129', '65999999', '8307', '5000'),
('143', '64', '15', '70', '3454', '548'),
('1048', '207', '78', '59000001', '6082', '853'),
('1943', '866', '301', '819999981', '692482', '11000'),
('877', '98', '43', '60999999', '13949', '453'),
('4362', '', '', '430000019', '28', '17'),
('2577', '306', '171', '580000019', '50170', '773'),
('3760', '150', '206', '669999981', '46813', '12000'),
('2331', '43', '38', '730000019', '6454', '0'),
('1762', '10', '8', '580000019', '191', '7'),
('3042', '109', '127', '49000001', '31640', '791'),
('2226', '129', '32', '189999998', '25371', '0'),
('2239', '4', '16', '74000001', '352', '44'),
('4769', '110', '224', '580000019', '28429', '0'),
('3016', '1', '5', '74000001', '59', '18'),
('783', '283', '72', '580000019', '81783', '0'),
('2676', '238', '173', '55', '32671', '0'),
('2471', '214', '112', '70999999', '30210', '0'),
('1379', '498', '169', '730000019', '135246', '0'),
('4442', '343', '292', '79000001', '221128', '46000'),
('2118', '1624', '287', '79000001', '361169', '18000'),
('4922', '781', '275', '730000019', '111609', '89000'),
('560', '148', '49', '65999999', '62037', '0'),
('2949', '76', '121', '65', '16224', '830'),
('4173', '79', '143', '519999981', '7384', '0'),
('2576', '108', '94', '70999999', '28068', '0'),
('1015', '28', '12', '580000019', '1686', '161'),
('3209', '30', '8', '30999999', '851', '128'),
('2094', '69', '50', '569999981', '10104', '265'),
('788', '88', '56', '75', '11612', '0'),
('1622', '123', '81', '619999981', '25572', '2000'),
('578', '391', '196', '75', '240241', '0'),
('368', '152', '84', '70999999', '71842', '0'),
('2274', '148', '118', '619999981', '17373', '767'),
('4516', '1', '6', '74000001', '70', '45'),
('1835', '101', '64', '530000019', '14315', '201'),
('1575', '102', '34', '619999981', '42644', '0'),
('671', '31', '12', '59000001', '8904', '0'),
('4714', '186', '256', '580000019', '39975', '24000'),
('3014', '590', '318', '64000001', '343648', '0'),
('1354', '433', '151', '769999981', '98354', '0'),
('1351', '254', '125', '60', '81888', '0'),
('2888', '103', '53', '530000019', '6267', '368'),
('1572', '268', '135', '69000001', '30339', '0'),
('4724', '4', '5', '59000001', '917', '224'),
('269', '55', '24', '839999962', '9852', '0'),
('613', '319', '81', '75999999', '181879', '0'),
('730', '282', '63', '379999995', '53115', '0'),
('1933', '185', '109', '580000019', '34942', '1000'),
('703', '39', '25', '69000001', '6011', '905'),
('3098', '274', '245', '75', '55842', '13000'),
('1577', '207', '83', '619999981', '19986', '892'),
('1733', '350', '167', '65', '57281', '0'),
('3149', '52', '33', '480000019', '4790', '804'),
('2635', '441', '163', '569999981', '65551', '0'),
('4314', '42', '68', '810000038', '6678', '0'),
('1655', '43', '52', '630000019', '3198', '478'),
('3700', '411', '436', '65999999', '180479', '42000'),
('4954', '20', '4', '75999999', '437', '450'),
('3619', '17', '4', '35999999', '912', '502'),
('3653', '187', '122', '35', '39095', '16000'),
('3318', '42', '113', '780000019', '7630', '0'),
('1792', '40', '32', '45', '5312', '939'),
('2179', '1106', '268', '810000038', '482064', '14000'),
('528', '291', '129', '45', '22961', '1000'),
('1934', '116', '81', '55', '49486', '886'),
('1686', '121', '75', '530000019', '15427', '449'),
('1078', '109', '48', '69000001', '36108', '0'),
('1263', '123', '74', '669999981', '22250', '913'),
('2470', '232', '168', '74000001', '43205', '0'),
('2863', '626', '318', '80', '473887', '10000'),
('4150', '7', '26', '769999981', '2112', '0'),
('35', '29', '7', '75', '1314', '68'),
('1662', '131', '56', '530000019', '7319', '327'),
('1320', '696', '203', '730000019', '137891', '0'),
('3590', '86', '138', '619999981', '47297', '16000'),
('3856', '197', '267', '60', '75864', '23000'),
('4246', '233', '354', '75999999', '76094', '37000'),
('420', '95', '59', '50', '30215', '0'),
('2944', '34', '90', '69000001', '3571', '429'),
('3222', '174', '167', '619999981', '60555', '0'),
('4634', '322', '343', '70', '103737', '56000'),
('1673', '294', '98', '59000001', '77684', '0'),
('2998', '45', '99', '70', '14301', '0'),
('1968', '354', '138', '530000019', '18632', '656'),
('2280', '251', '62', '54000001', '98794', '0'),
('4006', '174', '256', '730000019', '123553', '25000'),
('3955', '110', '332', '70999999', '29440', '12000'),
('4799', '1', '5', '65', '354', '34'),
('3165', '39', '76', '530000019', '10791', '464'),
('600', '80', '61', '70999999', '15103', '2000'),
('2144', '978', '205', '75999999', '187595', '0'),
('1885', '568', '176', '64000001', '86504', '0'),
('3377', '69', '147', '569999981', '19157', '0'),
('1935', '369', '140', '49000001', '25870', '2000'),
('2049', '30', '17', '719999981', '3480', '396'),
('4452', '289', '313', '619999981', '99035', '17000'),
('2444', '1100', '342', '719999981', '154938', '10000'),
('1443', '346', '149', '730000019', '43135', '0'),
('3642', '733', '453', '830000019', '544884', '30000'),
('4542', '185', '180', '730000019', '52894', '55000'),
('3733', '230', '272', '60999999', '37495', '37000'),
('1226', '186', '129', '730000019', '27543', '607'),
('4144', '10', '10', '79000001', '53', '33'),
('4746', '4080', '828', '810000038', '644227', '1364147'),
('759', '92', '26', '60', '85903', '0'),
('1527', '81', '41', '64000001', '9566', '1000'),
('326', '211', '127', '69000001', '29935', '0'),
('3178', '6', '3', '630000019', '397', '143'),
('1806', '1331', '252', '769999981', '399651', '0'),
('2804', '235', '84', '75', '52533', '10000'),
('1236', '140', '107', '60', '5442', '339'),
('328', '515', '215', '79000001', '281842', '34000'),
('4721', '29', '36', '50999999', '4099', '0'),
('1541', '100', '62', '45999999', '10966', '365'),
('2008', '35', '45', '55999999', '5674', '329'),
('4223', '3', '3', '680000019', '64', '31'),
('524', '173', '72', '719999981', '76842', '4000'),
('2650', '101', '37', '30', '8279', '837'),
('1486', '318', '129', '669999981', '90374', '0'),
('922', '34', '35', '50999999', '12942', '902'),
('691', '460', '122', '80', '163492', '15000'),
('2703', '483', '157', '69000001', '182757', '19000'),
('2747', '113', '63', '419999981', '15015', '494'),
('862', '405', '132', '630000019', '172217', '0'),
('4048', '99', '147', '60999999', '36029', '14000'),
('535', '97', '57', '719999981', '49007', '0'),
('954', '64', '53', '519999981', '63625', '0'),
('4448', '2725', '712', '860000038', '928227', '349000'),
('3082', '1017', '418', '80', '641997', '13000'),
('4917', '29', '39', '469999981', '4146', '0'),
('1547', '2110', '283', '810000038', '580999', '33000'),
('4363', '15', '30', '430000019', '2157', '421'),
('625', '68', '32', '65999999', '17124', '949'),
('972', '243', '73', '680000019', '220392', '0'),
('4224', '2', '11', '50999999', '322', '81'),
('2578', '415', '279', '70999999', '101221', '0'),
('4605', '53', '70', '50', '9418', '0'),
('4502', '60', '44', '75', '12672', '0'),
('2926', '', '', '519999981', '118', '30'),
('2528', '76', '58', '569999981', '28848', '0'),
('1399', '61', '52', '55999999', '3740', '314'),
('620', '654', '181', '75', '143835', '14000'),
('2336', '148', '47', '70', '4360', '1000'),
('2100', '64', '35', '669999981', '3222', '352'),
('4293', '380', '270', '65999999', '133177', '24000'),
('804', '37', '10', '45999999', '2129', '138'),
('1623', '90', '37', '630000019', '14656', '0'),
('3583', '173', '226', '64000001', '138661', '0'),
('3425', '169', '218', '719999981', '58967', '10000'),
('4850', '1211', '464', '55', '69757', '62000'),
('3295', '17', '56', '719999981', '9214', '0'),
('3516', '752', '445', '680000019', '202800', '60000'),
('1945', '271', '129', '60999999', '96693', '0'),
('4942', '14', '', '59000001', '954', '57'),
('3704', '54', '152', '569999981', '7625', '0'),
('811', '144', '52', '680000019', '22345', '0'),
('2569', '382', '31', '669999981', '12399', '0'),
('899', '164', '70', '44000001', '26051', '0'),
('18', '133', '51', '80', '17799', '0'),
('2328', '814', '237', '519999981', '88146', '0'),
('561', '252', '77', '70', '154199', '0'),
('912', '395', '114', '630000019', '144053', '0'),
('3457', '283', '377', '74000001', '141425', '25000'),
('3455', '1140', '669', '80', '551363', '106000'),
('4382', '3', '8', '44000001', '237', '190'),
('4147', '384', '415', '730000019', '150082', '36000'),
('3815', '83', '76', '35999999', '15866', '0'),
('1389', '112', '63', '59000001', '12519', '853'),
('3044', '281', '324', '75999999', '136673', '10000'),
('3384', '10', '4', '519999981', '1097', '402'),
('1403', '237', '87', '530000019', '80639', '0'),
('498', '143', '51', '769999981', '52846', '0'),
('1447', '192', '128', '669999981', '31169', '812'),
('1126', '515', '160', '64000001', '56741', '1000'),
('3146', '492', '270', '59000001', '78256', '0'),
('51', '28', '27', '719999981', '1756', '169'),
('6', '71', '36', '630000019', '4546', '167'),
('3187', '19', '37', '719999981', '1696', '1000'),
('3830', '211', '195', '49000001', '49312', '0'),
('1472', '79', '58', '50999999', '10777', '671'),
('3256', '245', '335', '780000019', '139114', '15000'),
('3616', '636', '479', '80', '503631', '64000'),
('4744', '994', '602', '680000019', '275868', '85000'),
('2582', '150', '144', '630000019', '12197', '650'),
('4388', '13', '18', '70999999', '2841', '0'),
('1713', '795', '194', '619999981', '162909', '0'),
('1917', '155', '128', '64000001', '25165', '827'),
('4263', '122', '238', '65', '64748', '12000'),
('4607', '23', '16', '49000001', '2706', '549'),
('4344', '211', '211', '619999981', '69355', '10000'),
('4064', '166', '234', '50999999', '20376', '15000'),
('2791', '299', '166', '680000019', '60156', '0'),
('1266', '42', '10', '619999981', '899', '271'),
('658', '317', '112', '430000019', '19331', '949'),
('4317', '216', '276', '74000001', '115813', '22000'),
('958', '682', '161', '830000019', '604904', '31000'),
('2594', '27', '99', '74000001', '6183', '1000'),
('1659', '988', '187', '669999981', '272223', '14000'),
('2468', '409', '168', '64000001', '35140', '0'),
('3156', '245', '195', '619999981', '40964', '0'),
('225', '116', '84', '769999981', '9513', '0'),
('1916', '332', '153', '630000019', '162331', '0'),
('3691', '40', '92', '65999999', '7390', '0'),
('3958', '160', '224', '55999999', '58366', '10000'),
('4215', '420', '319', '75999999', '203963', '58000'),
('289', '284', '201', '719999981', '91017', '0'),
('4589', '252', '349', '70999999', '86664', '38000'),
('314', '48', '34', '65999999', '16764', '1000'),
('4278', '34', '9', '580000019', '844', '962'),
('1009', '742', '173', '769999981', '343274', '18000'),
('4894', '266', '194', '519999981', '55617', '14000'),
('2757', '118', '190', '669999981', '24150', '923'),
('454', '388', '173', '69000001', '219171', '19000'),
('3886', '127', '178', '519999981', '44662', '0'),
('2730', '192', '172', '769999981', '99177', '11000'),
('2983', '26', '41', '44000001', '2458', '211'),
('592', '249', '60', '569999981', '43376', '0'),
('1725', '120', '92', '769999981', '19732', '0'),
('1307', '514', '162', '80', '128455', '0'),
('4937', '6', '', '669999981', '114', '4'),
('2996', '215', '50', '65', '17068', '0'),
('285', '149', '120', '74000001', '27629', '2000'),
('1692', '91', '40', '65999999', '29392', '0'),
('3426', '388', '333', '680000019', '87677', '11000'),
('3965', '738', '462', '65999999', '212204', '24000'),
('1166', '57', '28', '719999981', '5841', '942'),
('234', '80', '22', '630000019', '13587', '729'),
('1143', '113', '57', '730000019', '10499', '0'),
('519', '227', '88', '50999999', '29659', '1000'),
('3105', '33', '67', '70999999', '8087', '1000'),
('2146', '31', '12', '569999981', '3088', '290'),
('2052', '62', '52', '270000005', '3611', '131'),
('2978', '66', '83', '65', '11391', '1000'),
('1582', '985', '190', '60999999', '86890', '0'),
('2216', '835', '285', '75', '149966', '0'),
('3694', '679', '510', '69000001', '508818', '46000'),
('4477', '397', '351', '64000001', '216581', '21000'),
('4782', '15', '23', '519999981', '2032', '620'),
('4826', '144', '181', '580000019', '44296', '12000'),
('910', '514', '134', '819999981', '469561', '21000'),
('748', '145', '40', '65999999', '35314', '0'),
('4450', '779', '321', '60', '101178', '90000'),
('1241', '198', '59', '619999981', '33745', '0'),
('4816', '114', '130', '55999999', '36487', '0'),
('113', '7', '12', '730000019', '340', '32'),
('3020', '9', '11', '430000019', '1118', '77'),
('1215', '147', '59', '569999981', '14904', '0'),
('1046', '216', '61', '580000019', '24868', '964'),
('2214', '5', '10', '60', '369', '12'),
('4222', '352', '180', '430000019', '79146', '25000'),
('2801', '257', '186', '54000001', '115099', '2000'),
('754', '14', '10', '64000001', '438', '20'),
('1552', '346', '109', '45', '34435', '886'),
('287', '426', '96', '839999962', '168203', '11000'),
('4262', '122', '238', '65', '64747', '12000'),
('4169', '142', '231', '70999999', '49240', '12000'),
('1092', '523', '116', '819999981', '414976', '21000'),
('4729', '351', '421', '830000019', '161288', '72000'),
('859', '185', '62', '69000001', '63459', '3000'),
('2783', '124', '146', '70', '56654', '0'),
('2437', '99', '60', '730000019', '6261', '0'),
('2874', '319', '190', '59000001', '111087', '0'),
('2084', '1390', '248', '55', '138863', '0'),
('4531', '436', '292', '719999981', '229574', '56000'),
('826', '184', '83', '70999999', '54478', '0'),
('492', '204', '99', '730000019', '153468', '0'),
('4493', '24', '16', '869999981', '3144', '0'),
('4143', '182', '283', '74000001', '99430', '43000'),
('1569', '69', '27', '49000001', '3754', '113'),
('4737', '17', '18', '34000001', '838', '728'),
('4236', '4', '23', '569999981', '625', '124'),
('4226', '629', '384', '730000019', '447979', '105000'),
('666', '223', '57', '69000001', '181380', '0'),
('4201', '313', '535', '74000001', '96233', '26000'),
('3296', '77', '111', '55999999', '25344', '0'),
('1269', '59', '73', '54000001', '10100', '153'),
('2674', '1033', '285', '55999999', '115649', '4000'),
('4674', '1', '', '819999981', '108', '232'),
('2025', '114', '72', '719999981', '5709', '754'),
('3052', '189', '141', '39000001', '26624', '0'),
('1650', '274', '94', '669999981', '70292', '8000'),
('4905', '29', '72', '730000019', '2581', '0'),
('1355', '188', '100', '50999999', '12093', '394'),
